鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,floor,parking,parking_price
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.49,商,,,1081206,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,52.2,2,1,1,有,有,10500000,201149,,0.0,0,含增建或未登記建物。;,RPQNMLMLJHPFFBA37CA,14,0,0.0
大同區,房地(土地+建物),臺北市大同區民權西路211~240號,6.02,其他,,,1090107,土地3建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,63.45,2,2,1,有,有,14880000,234515,,0.0,0,,RPOPMLNJKHPFFBA37CA,19,0,0.0
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,13.08,住,,,1081215,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,111.38,2,1,1,有,有,17500000,157120,坡道平面,30.74,0,,RPTNMLMLJHPFFCA77CA,20,1,4829868.8
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街121~150號,32.06,住,,,1081126,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,229.0,4,2,3,有,有,50530000,220655,坡道平面,28.03,0,含增建或未登記建物。;,RPXNMLMLJHPFFCA18CA,14,1,6184959.65
中山區,房地(土地+建物),臺北市中山區中山北路一段91~120號,13.01,商,,,1080703,土地1建物2車位0,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060330,215.22,0,0,0,無,有,78800000,366137,,0.0,0,,RPQOMLRJKHPFFCA97CA,23,0,0.0
中山區,房地(土地+建物)+車位,臺北市中山區中山北路一段91~120號,11.77,商,,,1080703,土地1建物2車位2,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060330,232.14999999999998,0,0,0,無,有,69150000,402005,坡道平面,75.56,6200000,,RPROMLRJKHPFFCA08CA,23,2,30375497.8
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,15.57,商,,,1081226,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,204.41,3,2,2,有,有,40000000,226786,坡道平面,41.04,2950000,,RPTNMLKKKHPFFCA57CA,15,1,9307297.44
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段1~30號,38.49,住,,,1081115,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418,240.32,4,2,3,有,無,41080000,170939,坡道平面,38.92,0,,RPXPMLKKKHPFFCA18CA,15,1,6652945.88
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段421~450號,10.38,商,,,1090114,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070327,114.96,2,1,1,有,有,32000000,296355,升降機械,13.73,2000000,含未登記露臺,RPROMLNJLHPFFCA77CA,15,1,4068954.15
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段411巷61~90號,78.42,住,,,1010719,土地2建物1車位5,五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051026,596.95,0,0,0,無,有,116970000,223333,坡道平面,127.83,12200000,親友、員工或其他特殊關係間之交易。;.本案係預售屋買賣108/12/26轉讓.停車位5位及全體區分所有權人共用4位,RPPOMLRLKHPFFCA08CA,28,5,28548657.39
大安區,房地(土地+建物),臺北市大安區復興南路二段171巷31~60號,21.91,住,,,1081212,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,113.11,3,2,2,有,有,23500000,207781,,0.0,0,,RPUNMLOKKHPFFFA38CA,17,0,0.0
大同區,房地(土地+建物),臺北市大同區寧夏路1~30號,4.18,商,,,1081231,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851028,46.34,1,1,1,有,無,8000000,172637,,0.0,0,受債權債務影響或債務抵償之交易。;,RPRPMLLLJHPFFBA67DA,14,0,0.0
中山區,房地(土地+建物),臺北市中山區市民大道三段151~180號,8.91,住,,,1081221,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970602,68.5,2,1,1,有,有,12000000,175182,,0.0,0,含增建或未登記建物。;,RPUOMLMLJHPFFCA08DA,13,0,0.0
大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段391~420號,16.43,住,,,1081214,土地2建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,115.75999999999999,1,1,1,有,有,18450000,159381,坡道平面,0.0,0,含增建或未登記建物。;,RPQOMLKMJHPFFFA77CA,14,1,0.0
松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段151~180號,15.21,商,,,1081202,土地2建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760526,162.32999999999998,3,2,2,有,有,33880000,208711,坡道平面,0.0,0,,RPXOMLRKKHPFFDA88CA,16,1,0.0
信義區,房地(土地+建物),臺北市信義區嘉興街301~330號,6.87,住,,,1081215,土地3建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840216,65.14,2,2,1,有,有,14000000,214922,,0.0,0,含增建或未登記建物。;,RPPNMLKKKHPFFDA27CA,16,0,0.0
